"H200";"Explosif instable"
"H351";"Susceptible de provoquer le cancer (indiquer la voie d'exposition s'il est formellement prouvé qu'aucune autre voie d'exposition ne conduit au même danger)"
"H360";"Peut nuire à la fertilité ou au fœtus (indiquer l'effet s'il est connu) (indiquer la voie d'exposition s'il est formellement prouvé qu'aucune autre voie d'exposition ne conduit au même danger)"
"H360D";"Peut nuire au fœtus."
"H360Df";"Peut nuire au fœtus. Susceptible de nuire à la fertilité."
"H360F";"Peut nuire à la fertilité."
"H360Fd";"Peut nuire à la fertilité. Susceptible de nuire au fœtus."
"H360FD";"Peut nuire à la fertilité. Peut nuire au fœtus."
"H361";"Susceptible de nuire à la fertilité ou au fœtus (indiquer l'effet s'il est connu) (indiquer la voie d'exposition s'il est formellement prouvé qu'aucune autre voie d'exposition ne conduit au même danger)"
"H361d";"Susceptible de nuire au fœtus."
"H361f";"Susceptible de nuire à la fertilité."
"H361fd";"Susceptible de nuire à la fertilité. Susceptible de nuire au fœtus."
"H362";"Peut être nocif pour les bébés nourris au lait maternel"
"H370";"Risque avéré d'effets graves pour les organes (ou indiquer tous les organes affectés, s'ils sont connus) (indiquer la voie d'exposition s'il est formellement prouvé qu'aucune autre voie d'exposition ne conduit au même danger)"
"H371";"Risque présumé d'effets graves pour les organes (ou indiquer tous les organes affectés, s'ils sont connus) (indiquer la voie d'exposition s'il est formellement prouvé qu'aucune autre voie d'exposition ne conduit au même danger)"
"H372";"Risque avéré d'effets graves pour les organes (indiquer tous les organes affectés, s'ils sont connus) à la suite d'expositions répétées ou d'une exposition prolongée (indiquer la voie d'exposition s'il est formellement prouvé qu'aucune autre voie d'exposition ne conduit au même danger)"
"H373";"Risque présumé d'effets graves pour les organes (indiquer tous les organes affectés, s'ils sont connus) à la suite d'expositions répétées ou d'une exposition prolongée (indiquer la voie d'exposition s'il est formellement prouvé qu'aucune autre voie d'exposition ne conduit au même danger)"
"H300+H310";"Mortel en cas d'ingestion ou par contact cutané"
"H300+H330";"Mortel en cas d'ingestion ou par inhalation"
"H310+H330";"Mortel par contact cutané ou par inhalation"
"H300+H310+H330";"Mortel en cas d'ingestion, par contact cutané ou par inhalation"
"H301+H311";"Toxique en cas d'ingestion ou par contact cutané"
"H301+H331";"Toxique en cas d'ingestion ou par inhalation"
"H311+H331";"Toxique par contact cutané ou par inhalation"
"H301+H311+H331";"Toxique en cas d'ingestion, par contact cutané ou par inhalation"
"H302+H312";"Nocif en cas d'ingestion ou par contact cutané"
"H302+H332";"Nocif en cas d'ingestion ou par inhalation"
"H312+H332";"Nocif par contact cutané ou par inhalation"
"H302+H312+H332";"Nocif en cas d'ingestion, par contact cutané ou par inhalation"
"H400";"Très toxique pour les organismes aquatiques"
"H401";"Toxique pour les organismes aquatiques"
"H402";"Nocif pour les organismes aquatiques"
"H410";"Très toxique pour les organismes aquatiques, entraîne des effets à long terme"
"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme"
"H412";"Nocif pour les organismes aquatiques, entraîne des effets à long terme"
"H413";"Peut entraîner des effets néfastes à long terme pour les organismes aquatiques"
"H420";"Nuit à la santé publique et à l’environnement en détruisant l’ozone dans la haute atmosphère"
