"P306+360";"EN CAS DE CONTACT AVEC LES VÊTEMENTS : rincer immédiatement et abondamment avec de l’eau les vêtements contaminés et la peau avant de les enlever."
"P307+311";"EN CAS d’exposition : appeler un CENTRE ANTIPOISON ou un médecin."
"P308+313";"EN CAS d’exposition prouvée ou suspectée : consulter un médecin."
"P309+311";"EN CAS d’exposition ou de malaise : appeler un CENTRE ANTIPOISON ou un médecin."
"P332+313";"En cas d’irritation cutanée : consulter un médecin."
"P333+313";"En cas d’irritation ou d'éruption cutanée : consulter un médecin."
"P335+334";"Enlever avec précaution les particules déposées sur la peau. Rincer à l’eau fraîche/poser une compresse humide."
"P337+313";"Si l’irritation oculaire persiste : consulter un médecin."
"P342+311";"En cas de symptômes respiratoires : appeler un CENTRE ANTIPOISON ou un médecin."
"P361+364";"Enlever immédiatement tous les vêtements contaminés et les laver avant réutilisation."
"P370+376";"En cas d’incendie : obturer la fuite si cela peut se faire sans danger."
"P370+378";"En cas d’incendie : utiliser … pour l’extinction."
"P370+380";"En cas d’incendie : évacuer la zone."
"P370+380+375";"En cas d’incendie : évacuer la zone. Combattre l’incendie à distance à cause du risque d’explosion."
"P371+380+375";"En cas d’incendie important et s’il s’agit de grandes quantités : évacuer la zone. Combattre l’incendie à distance à cause du risque d’explosion."
"P401";"Stocker …"
"P402";"Stocker dans un endroit sec."
"P403";"Stocker dans un endroit bien ventilé."
"P404";"Stocker dans un récipient fermé."
"P405";"Garder sous clef."
"P406";"Stocker dans un récipient résistant à la corrosion/récipient en … avec doublure intérieure résistant à la corrosion."
"P407";"Maintenir un intervalle d’air entre les piles/palettes."
"P410";"Protéger du rayonnement solaire."
"P411";"Stocker à une température ne dépassant pas … °C/… °F."
"P412";"Ne pas exposer à une température supérieure à 50 °C/122 °F."
"P413";"Stocker les quantités en vrac de plus de … kg/… lb à une température ne dépassant pas … °C/… °F."
"P420";"Stocker à l’écart des autres matières."
"P422";"Stocker le contenu sous …"
"P402+404";"Stocker dans un endroit sec. Stocker dans un récipient fermé."
"P403+233";"Stocker dans un endroit bien ventilé. Maintenir le récipient fermé de manière étanche."
"P403+235";"Stocker dans un endroit bien ventilé. Tenir au frais."
"P410+403";"Protéger du rayonnement solaire. Stocker dans un endroit bien ventilé."
"P410+412";"Protéger du rayonnement solaire. Ne pas exposer à une température supérieure à 50 °C/122 °F."
"P411+235";"Stocker à une température ne dépassant pas … °C/… °F. Tenir au frais."
"P501";"Éliminer le contenu/récipient dans …"
